"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Custom Qualys","Windows Server","10.83.1.39","win-custom-qualys-060.example.internal","win-custom-qualys-060","Windows Operations","Windows Server 2022"
"Custom Qualys","Virtualization Host","10.83.1.40","virt-custom-qualys-061.example.internal","virt-custom-qualys-061","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Security Appliance","10.83.1.41","sec-custom-qualys-062.example.internal","sec-custom-qualys-062","Security Operations","Palo Alto PAN-OS 11"
"Custom Qualys","Windows Server","10.83.1.42","win-custom-qualys-063.example.internal","win-custom-qualys-063","Windows Operations","Windows Server 2022"
"Custom Qualys","Linux Server","10.83.1.43","lnx-custom-qualys-064.example.internal","lnx-custom-qualys-064","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Virtualization Host","10.83.1.44","virt-custom-qualys-065.example.internal","virt-custom-qualys-065","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Linux Server","10.83.1.45","lnx-custom-qualys-066.example.internal","lnx-custom-qualys-066","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Virtualization Host","10.83.1.46","virt-custom-qualys-067.example.internal","virt-custom-qualys-067","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Database","10.83.1.47","db-custom-qualys-068.example.internal","db-custom-qualys-068","Database Operations","PostgreSQL 16"
"Custom Qualys","Virtualization Host","10.83.1.48","virt-custom-qualys-069.example.internal","virt-custom-qualys-069","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Virtualization Host","10.83.1.49","virt-custom-qualys-070.example.internal","virt-custom-qualys-070","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Windows Server","10.83.1.50","win-custom-qualys-071.example.internal","win-custom-qualys-071","Windows Operations","Windows Server 2022"
"Custom Qualys","Network Device","10.83.1.51","net-custom-qualys-072.example.internal","net-custom-qualys-072","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Endpoint","10.83.1.52","ep-custom-qualys-073.example.internal","ep-custom-qualys-073","Endpoint Engineering","Windows 11 Enterprise"
"Custom Qualys","Windows Server","10.83.1.53","win-custom-qualys-074.example.internal","win-custom-qualys-074","Windows Operations","Windows Server 2022"
"Custom Qualys","Virtualization Host","10.83.1.54","virt-custom-qualys-075.example.internal","virt-custom-qualys-075","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Linux Server","10.83.1.55","lnx-custom-qualys-076.example.internal","lnx-custom-qualys-076","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Virtualization Host","10.83.1.56","virt-custom-qualys-077.example.internal","virt-custom-qualys-077","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Virtualization Host","10.83.1.57","virt-custom-qualys-078.example.internal","virt-custom-qualys-078","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Database","10.83.1.58","db-custom-qualys-079.example.internal","db-custom-qualys-079","Database Operations","PostgreSQL 16"
"Custom Qualys","Virtualization Host","10.83.1.59","virt-custom-qualys-080.example.internal","virt-custom-qualys-080","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Cloud Asset","10.83.1.60","cld-custom-qualys-081.example.internal","cld-custom-qualys-081","Cloud Platform","AWS EC2"
"Custom Qualys","Database","10.83.1.61","db-custom-qualys-082.example.internal","db-custom-qualys-082","Database Operations","PostgreSQL 16"
"Custom Qualys","Virtualization Host","10.83.1.62","virt-custom-qualys-083.example.internal","virt-custom-qualys-083","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Windows Server","10.83.1.63","win-custom-qualys-084.example.internal","win-custom-qualys-084","Windows Operations","Windows Server 2022"
"Custom Qualys","Cloud Asset","10.83.1.64","cld-custom-qualys-085.example.internal","cld-custom-qualys-085","Cloud Platform","AWS EC2"
"Custom Qualys","Security Appliance","10.83.1.65","sec-custom-qualys-086.example.internal","sec-custom-qualys-086","Security Operations","Palo Alto PAN-OS 11"
"Custom Qualys","Cloud Asset","10.83.1.66","cld-custom-qualys-087.example.internal","cld-custom-qualys-087","Cloud Platform","AWS EC2"
"Custom Qualys","Windows Server","10.83.1.67","win-custom-qualys-088.example.internal","win-custom-qualys-088","Windows Operations","Windows Server 2022"
"Custom Qualys","Linux Server","10.83.1.68","lnx-custom-qualys-089.example.internal","lnx-custom-qualys-089","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Virtualization Host","10.83.1.69","virt-custom-qualys-090.example.internal","virt-custom-qualys-090","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Linux Server","10.83.1.70","lnx-custom-qualys-091.example.internal","lnx-custom-qualys-091","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Endpoint","10.83.1.71","ep-custom-qualys-092.example.internal","ep-custom-qualys-092","Endpoint Engineering","Windows 11 Enterprise"
"Custom Qualys","Endpoint","10.83.1.72","ep-custom-qualys-093.example.internal","ep-custom-qualys-093","Endpoint Engineering","Windows 11 Enterprise"
"Custom Qualys","Network Device","10.83.1.73","net-custom-qualys-094.example.internal","net-custom-qualys-094","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Cloud Asset","10.83.1.74","cld-custom-qualys-095.example.internal","cld-custom-qualys-095","Cloud Platform","AWS EC2"
"Custom Qualys","Endpoint","10.83.1.75","ep-custom-qualys-096.example.internal","ep-custom-qualys-096","Endpoint Engineering","Windows 11 Enterprise"
"Custom Qualys","Virtualization Host","10.83.1.76","virt-custom-qualys-097.example.internal","virt-custom-qualys-097","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Cloud Asset","10.83.1.77","cld-custom-qualys-098.example.internal","cld-custom-qualys-098","Cloud Platform","AWS EC2"
"Custom Qualys","Windows Server","10.83.1.78","win-custom-qualys-099.example.internal","win-custom-qualys-099","Windows Operations","Windows Server 2022"
"Custom Qualys","Windows Server","10.83.1.79","win-custom-qualys-100.example.internal","win-custom-qualys-100","Windows Operations","Windows Server 2022"
