Namespace,Deployment,Image,Component,CVE,Fixable,CVE Fixed In,Severity,CVSS,Discovered At,Reference
shared-services,web-3,registry.example.internal/platform/shared-services-web-3:2026.26,curl,CVE-2026-3017,Yes,curl-4.9.12,High,8.1,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,web-4,registry.example.internal/core/edge-web-4:2026.27,libxml2,CVE-2026-3018,Yes,libxml2-5.1.13,Medium,6.5,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,scheduler-5,registry.example.internal/digital/payments-scheduler-5:2026.28,expat,CVE-2026-3019,Yes,expat-2.2.14,Medium,6.5,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
identity,scheduler-1,registry.example.internal/platform/identity-scheduler-1:2026.29,zlib,CVE-2026-3020,No,,Low,3.7,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,scheduler-2,registry.example.internal/core/customer-portal-scheduler-2:2026.30,krb5-libs,CVE-2026-3021,Yes,krb5-libs-4.4.3,Critical,9.8,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,scheduler-3,registry.example.internal/digital/analytics-scheduler-3:2026.31,python3-libs,CVE-2026-3022,Yes,python3-libs-5.5.4,High,8.1,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,scheduler-4,registry.example.internal/platform/integration-scheduler-4:2026.32,go-toolset,CVE-2026-3023,Yes,go-toolset-2.6.5,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,scheduler-5,registry.example.internal/core/monitoring-scheduler-5:2026.33,nginx,CVE-2026-3024,Yes,nginx-3.7.6,Medium,6.5,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,scheduler-1,registry.example.internal/digital/shared-services-scheduler-1:2026.20,openssl,CVE-2026-3025,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,scheduler-2,registry.example.internal/platform/edge-scheduler-2:2026.21,glibc,CVE-2026-3026,Yes,glibc-5.9.8,Low,3.7,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,gateway-3,registry.example.internal/core/payments-gateway-3:2026.22,curl,CVE-2026-3027,Yes,curl-2.1.9,Critical,9.8,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,gateway-4,registry.example.internal/digital/identity-gateway-4:2026.23,libxml2,CVE-2026-3028,Yes,libxml2-3.2.10,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,gateway-5,registry.example.internal/platform/customer-portal-gateway-5:2026.24,expat,CVE-2026-3029,Yes,expat-4.3.11,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
analytics,gateway-1,registry.example.internal/core/analytics-gateway-1:2026.25,zlib,CVE-2026-3030,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,gateway-2,registry.example.internal/digital/integration-gateway-2:2026.26,krb5-libs,CVE-2026-3031,Yes,krb5-libs-2.5.13,Medium,6.5,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,gateway-3,registry.example.internal/platform/monitoring-gateway-3:2026.27,python3-libs,CVE-2026-3032,Yes,python3-libs-3.6.14,Low,3.7,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,gateway-4,registry.example.internal/core/shared-services-gateway-4:2026.28,go-toolset,CVE-2026-3033,Yes,go-toolset-4.7.2,Critical,9.8,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,gateway-5,registry.example.internal/digital/edge-gateway-5:2026.29,nginx,CVE-2026-3034,Yes,nginx-5.8.3,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
payments,api-1,registry.example.internal/platform/payments-api-1:2026.30,openssl,CVE-2026-3035,No,,High,8.1,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,api-2,registry.example.internal/core/identity-api-2:2026.31,glibc,CVE-2026-3036,Yes,glibc-3.1.5,Medium,6.5,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,api-3,registry.example.internal/digital/customer-portal-api-3:2026.32,curl,CVE-2026-3037,Yes,curl-4.2.6,Medium,6.5,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,api-4,registry.example.internal/platform/analytics-api-4:2026.33,libxml2,CVE-2026-3038,Yes,libxml2-5.3.7,Low,3.7,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,api-5,registry.example.internal/core/integration-api-5:2026.20,expat,CVE-2026-3039,Yes,expat-2.4.8,Critical,9.8,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,api-1,registry.example.internal/digital/monitoring-api-1:2026.21,zlib,CVE-2026-3040,No,,High,8.1,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,api-2,registry.example.internal/platform/shared-services-api-2:2026.22,krb5-libs,CVE-2026-3041,Yes,krb5-libs-4.6.10,High,8.1,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,api-3,registry.example.internal/core/edge-api-3:2026.23,python3-libs,CVE-2026-3042,Yes,python3-libs-5.7.11,Medium,6.5,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,worker-4,registry.example.internal/digital/payments-worker-4:2026.24,go-toolset,CVE-2026-3043,Yes,go-toolset-2.8.12,Medium,6.5,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,worker-5,registry.example.internal/platform/identity-worker-5:2026.25,nginx,CVE-2026-3044,Yes,nginx-3.9.13,Low,3.7,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,worker-1,registry.example.internal/core/customer-portal-worker-1:2026.26,openssl,CVE-2026-3000,No,,Critical,9.8,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,worker-2,registry.example.internal/digital/analytics-worker-2:2026.27,glibc,CVE-2026-3001,Yes,glibc-5.2.2,High,8.1,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,worker-3,registry.example.internal/platform/integration-worker-3:2026.28,curl,CVE-2026-3002,Yes,curl-2.3.3,High,8.1,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,worker-4,registry.example.internal/core/monitoring-worker-4:2026.29,libxml2,CVE-2026-3003,Yes,libxml2-3.4.4,Medium,6.5,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,worker-5,registry.example.internal/digital/shared-services-worker-5:2026.30,expat,CVE-2026-3004,Yes,expat-4.5.5,Medium,6.5,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
edge,worker-1,registry.example.internal/platform/edge-worker-1:2026.31,zlib,CVE-2026-3005,No,,Low,3.7,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,web-2,registry.example.internal/core/payments-web-2:2026.32,krb5-libs,CVE-2026-3006,Yes,krb5-libs-2.7.7,Critical,9.8,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,web-3,registry.example.internal/digital/identity-web-3:2026.33,python3-libs,CVE-2026-3007,Yes,python3-libs-3.8.8,High,8.1,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,web-4,registry.example.internal/platform/customer-portal-web-4:2026.20,go-toolset,CVE-2026-3008,Yes,go-toolset-4.9.9,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,web-5,registry.example.internal/core/analytics-web-5:2026.21,nginx,CVE-2026-3009,Yes,nginx-5.1.10,Medium,6.5,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
integration,web-1,registry.example.internal/digital/integration-web-1:2026.22,openssl,CVE-2026-3010,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,web-2,registry.example.internal/platform/monitoring-web-2:2026.23,glibc,CVE-2026-3011,Yes,glibc-3.3.12,Low,3.7,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,web-3,registry.example.internal/core/shared-services-web-3:2026.24,curl,CVE-2026-3012,Yes,curl-4.4.13,Critical,9.8,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,web-4,registry.example.internal/digital/edge-web-4:2026.25,libxml2,CVE-2026-3013,Yes,libxml2-5.5.14,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,scheduler-5,registry.example.internal/platform/payments-scheduler-5:2026.26,expat,CVE-2026-3014,Yes,expat-2.6.2,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
identity,scheduler-1,registry.example.internal/core/identity-scheduler-1:2026.27,zlib,CVE-2026-3015,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,scheduler-2,registry.example.internal/digital/customer-portal-scheduler-2:2026.28,krb5-libs,CVE-2026-3016,Yes,krb5-libs-4.8.4,Medium,6.5,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,scheduler-3,registry.example.internal/platform/analytics-scheduler-3:2026.29,python3-libs,CVE-2026-3017,Yes,python3-libs-5.9.5,Low,3.7,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,scheduler-4,registry.example.internal/core/integration-scheduler-4:2026.30,go-toolset,CVE-2026-3018,Yes,go-toolset-2.1.6,Critical,9.8,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,scheduler-5,registry.example.internal/digital/monitoring-scheduler-5:2026.31,nginx,CVE-2026-3019,Yes,nginx-3.2.7,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,scheduler-1,registry.example.internal/platform/shared-services-scheduler-1:2026.32,openssl,CVE-2026-3020,No,,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
edge,scheduler-2,registry.example.internal/core/edge-scheduler-2:2026.33,glibc,CVE-2026-3021,Yes,glibc-5.4.9,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
payments,gateway-3,registry.example.internal/digital/payments-gateway-3:2026.20,curl,CVE-2026-3022,Yes,curl-2.5.10,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
identity,gateway-4,registry.example.internal/platform/identity-gateway-4:2026.21,libxml2,CVE-2026-3023,Yes,libxml2-3.6.11,Low,3.7,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,gateway-5,registry.example.internal/core/customer-portal-gateway-5:2026.22,expat,CVE-2026-3024,Yes,expat-4.7.12,Critical,9.8,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
analytics,gateway-1,registry.example.internal/digital/analytics-gateway-1:2026.23,zlib,CVE-2026-3025,No,,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
integration,gateway-2,registry.example.internal/platform/integration-gateway-2:2026.24,krb5-libs,CVE-2026-3026,Yes,krb5-libs-2.9.14,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,gateway-3,registry.example.internal/core/monitoring-gateway-3:2026.25,python3-libs,CVE-2026-3027,Yes,python3-libs-3.1.2,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,gateway-4,registry.example.internal/digital/shared-services-gateway-4:2026.26,go-toolset,CVE-2026-3028,Yes,go-toolset-4.2.3,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
edge,gateway-5,registry.example.internal/platform/edge-gateway-5:2026.27,nginx,CVE-2026-3029,Yes,nginx-5.3.4,Low,3.7,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
payments,api-1,registry.example.internal/core/payments-api-1:2026.28,openssl,CVE-2026-3030,No,,Critical,9.8,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
identity,api-2,registry.example.internal/digital/identity-api-2:2026.29,glibc,CVE-2026-3031,Yes,glibc-3.5.6,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,api-3,registry.example.internal/platform/customer-portal-api-3:2026.30,curl,CVE-2026-3032,Yes,curl-4.6.7,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
analytics,api-4,registry.example.internal/core/analytics-api-4:2026.31,libxml2,CVE-2026-3033,Yes,libxml2-5.7.8,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
integration,api-5,registry.example.internal/digital/integration-api-5:2026.32,expat,CVE-2026-3034,Yes,expat-2.8.9,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,api-1,registry.example.internal/platform/monitoring-api-1:2026.33,zlib,CVE-2026-3035,No,,Low,3.7,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,api-2,registry.example.internal/core/shared-services-api-2:2026.20,krb5-libs,CVE-2026-3036,Yes,krb5-libs-4.1.11,Critical,9.8,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
edge,api-3,registry.example.internal/digital/edge-api-3:2026.21,python3-libs,CVE-2026-3037,Yes,python3-libs-5.2.12,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
payments,worker-4,registry.example.internal/platform/payments-worker-4:2026.22,go-toolset,CVE-2026-3038,Yes,go-toolset-2.3.13,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
identity,worker-5,registry.example.internal/core/identity-worker-5:2026.23,nginx,CVE-2026-3039,Yes,nginx-3.4.14,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,worker-1,registry.example.internal/digital/customer-portal-worker-1:2026.24,openssl,CVE-2026-3040,No,,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
analytics,worker-2,registry.example.internal/platform/analytics-worker-2:2026.25,glibc,CVE-2026-3041,Yes,glibc-5.6.3,Low,3.7,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
integration,worker-3,registry.example.internal/core/integration-worker-3:2026.26,curl,CVE-2026-3042,Yes,curl-2.7.4,Critical,9.8,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,worker-4,registry.example.internal/digital/monitoring-worker-4:2026.27,libxml2,CVE-2026-3043,Yes,libxml2-3.8.5,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,worker-5,registry.example.internal/platform/shared-services-worker-5:2026.28,expat,CVE-2026-3044,Yes,expat-4.9.6,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
edge,worker-1,registry.example.internal/core/edge-worker-1:2026.29,zlib,CVE-2026-3000,No,,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
payments,web-2,registry.example.internal/digital/payments-web-2:2026.30,krb5-libs,CVE-2026-3001,Yes,krb5-libs-2.2.8,Medium,6.5,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
identity,web-3,registry.example.internal/platform/identity-web-3:2026.31,python3-libs,CVE-2026-3002,Yes,python3-libs-3.3.9,Low,3.7,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,web-4,registry.example.internal/core/customer-portal-web-4:2026.32,go-toolset,CVE-2026-3003,Yes,go-toolset-4.4.10,Critical,9.8,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
analytics,web-5,registry.example.internal/digital/analytics-web-5:2026.33,nginx,CVE-2026-3004,Yes,nginx-5.5.11,High,8.1,2026-05-17T10:15:00Z,https://access.redhat.com/security/security-updates/cve
integration,web-1,registry.example.internal/platform/integration-web-1:2026.20,openssl,CVE-2026-3005,No,,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,web-2,registry.example.internal/core/monitoring-web-2:2026.21,glibc,CVE-2026-3006,Yes,glibc-3.7.13,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,web-3,registry.example.internal/digital/shared-services-web-3:2026.22,curl,CVE-2026-3007,Yes,curl-4.8.14,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,web-4,registry.example.internal/platform/edge-web-4:2026.23,libxml2,CVE-2026-3008,Yes,libxml2-5.9.2,Low,3.7,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,scheduler-5,registry.example.internal/core/payments-scheduler-5:2026.24,expat,CVE-2026-3009,Yes,expat-2.1.3,Critical,9.8,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,scheduler-1,registry.example.internal/digital/identity-scheduler-1:2026.25,zlib,CVE-2026-3010,No,,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,scheduler-2,registry.example.internal/platform/customer-portal-scheduler-2:2026.26,krb5-libs,CVE-2026-3011,Yes,krb5-libs-4.3.5,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,scheduler-3,registry.example.internal/core/analytics-scheduler-3:2026.27,python3-libs,CVE-2026-3012,Yes,python3-libs-5.4.6,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,scheduler-4,registry.example.internal/digital/integration-scheduler-4:2026.28,go-toolset,CVE-2026-3013,Yes,go-toolset-2.5.7,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,scheduler-5,registry.example.internal/platform/monitoring-scheduler-5:2026.29,nginx,CVE-2026-3014,Yes,nginx-3.6.8,Low,3.7,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,scheduler-1,registry.example.internal/core/shared-services-scheduler-1:2026.30,openssl,CVE-2026-3015,No,,Critical,9.8,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,scheduler-2,registry.example.internal/digital/edge-scheduler-2:2026.31,glibc,CVE-2026-3016,Yes,glibc-5.8.10,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,gateway-3,registry.example.internal/platform/payments-gateway-3:2026.32,curl,CVE-2026-3017,Yes,curl-2.9.11,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,gateway-4,registry.example.internal/core/identity-gateway-4:2026.33,libxml2,CVE-2026-3018,Yes,libxml2-3.1.12,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,gateway-5,registry.example.internal/digital/customer-portal-gateway-5:2026.20,expat,CVE-2026-3019,Yes,expat-4.2.13,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,gateway-1,registry.example.internal/platform/analytics-gateway-1:2026.21,zlib,CVE-2026-3020,No,,Low,3.7,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,gateway-2,registry.example.internal/core/integration-gateway-2:2026.22,krb5-libs,CVE-2026-3021,Yes,krb5-libs-2.4.2,Critical,9.8,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,gateway-3,registry.example.internal/digital/monitoring-gateway-3:2026.23,python3-libs,CVE-2026-3022,Yes,python3-libs-3.5.3,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,gateway-4,registry.example.internal/platform/shared-services-gateway-4:2026.24,go-toolset,CVE-2026-3023,Yes,go-toolset-4.6.4,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,gateway-5,registry.example.internal/core/edge-gateway-5:2026.25,nginx,CVE-2026-3024,Yes,nginx-5.7.5,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,api-1,registry.example.internal/digital/payments-api-1:2026.26,openssl,CVE-2026-3025,No,,Medium,6.5,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,api-2,registry.example.internal/platform/identity-api-2:2026.27,glibc,CVE-2026-3026,Yes,glibc-3.9.7,Low,3.7,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,api-3,registry.example.internal/core/customer-portal-api-3:2026.28,curl,CVE-2026-3027,Yes,curl-4.1.8,Critical,9.8,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,api-4,registry.example.internal/digital/analytics-api-4:2026.29,libxml2,CVE-2026-3028,Yes,libxml2-5.2.9,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,api-5,registry.example.internal/platform/integration-api-5:2026.30,expat,CVE-2026-3029,Yes,expat-2.3.10,High,8.1,2026-06-16T11:00:00Z,https://access.redhat.com/security/security-updates/cve
