"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Qualys VMDR","Security Appliance","10.82.1.33","sec-qualys-054.example.internal","sec-qualys-054","Security Operations","Palo Alto PAN-OS 11"
"Qualys VMDR","Cloud Asset","10.82.1.34","cld-qualys-055.example.internal","cld-qualys-055","Cloud Platform","AWS EC2"
"Qualys VMDR","Endpoint","10.82.1.35","ep-qualys-056.example.internal","ep-qualys-056","Endpoint Engineering","Windows 11 Enterprise"
"Qualys VMDR","Security Appliance","10.82.1.36","sec-qualys-057.example.internal","sec-qualys-057","Security Operations","Palo Alto PAN-OS 11"
"Qualys VMDR","Virtualization Host","10.82.1.37","virt-qualys-058.example.internal","virt-qualys-058","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Database","10.82.1.38","db-qualys-059.example.internal","db-qualys-059","Database Operations","PostgreSQL 16"
"Qualys VMDR","Network Device","10.82.1.39","net-qualys-060.example.internal","net-qualys-060","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Cloud Asset","10.82.1.40","cld-qualys-061.example.internal","cld-qualys-061","Cloud Platform","AWS EC2"
"Qualys VMDR","Virtualization Host","10.82.1.41","virt-qualys-062.example.internal","virt-qualys-062","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Endpoint","10.82.1.42","ep-qualys-063.example.internal","ep-qualys-063","Endpoint Engineering","Windows 11 Enterprise"
"Qualys VMDR","Cloud Asset","10.82.1.43","cld-qualys-064.example.internal","cld-qualys-064","Cloud Platform","AWS EC2"
"Qualys VMDR","Virtualization Host","10.82.1.44","virt-qualys-065.example.internal","virt-qualys-065","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Endpoint","10.82.1.45","ep-qualys-066.example.internal","ep-qualys-066","Endpoint Engineering","Windows 11 Enterprise"
"Qualys VMDR","Linux Server","10.82.1.46","lnx-qualys-067.example.internal","lnx-qualys-067","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Windows Server","10.82.1.47","win-qualys-068.example.internal","win-qualys-068","Windows Operations","Windows Server 2022"
"Qualys VMDR","Cloud Asset","10.82.1.48","cld-qualys-069.example.internal","cld-qualys-069","Cloud Platform","AWS EC2"
"Qualys VMDR","Virtualization Host","10.82.1.49","virt-qualys-070.example.internal","virt-qualys-070","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Endpoint","10.82.1.50","ep-qualys-071.example.internal","ep-qualys-071","Endpoint Engineering","Windows 11 Enterprise"
"Qualys VMDR","Virtualization Host","10.82.1.51","virt-qualys-072.example.internal","virt-qualys-072","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Network Device","10.82.1.52","net-qualys-073.example.internal","net-qualys-073","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Cloud Asset","10.82.1.53","cld-qualys-074.example.internal","cld-qualys-074","Cloud Platform","AWS EC2"
"Qualys VMDR","Cloud Asset","10.82.1.54","cld-qualys-075.example.internal","cld-qualys-075","Cloud Platform","AWS EC2"
"Qualys VMDR","Cloud Asset","10.82.1.55","cld-qualys-076.example.internal","cld-qualys-076","Cloud Platform","AWS EC2"
"Qualys VMDR","Security Appliance","10.82.1.56","sec-qualys-077.example.internal","sec-qualys-077","Security Operations","Palo Alto PAN-OS 11"
"Qualys VMDR","Database","10.82.1.57","db-qualys-078.example.internal","db-qualys-078","Database Operations","PostgreSQL 16"
"Qualys VMDR","Database","10.82.1.58","db-qualys-079.example.internal","db-qualys-079","Database Operations","PostgreSQL 16"
"Qualys VMDR","Linux Server","10.82.1.59","lnx-qualys-080.example.internal","lnx-qualys-080","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Linux Server","10.82.1.60","lnx-qualys-081.example.internal","lnx-qualys-081","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Network Device","10.82.1.61","net-qualys-082.example.internal","net-qualys-082","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Virtualization Host","10.82.1.62","virt-qualys-083.example.internal","virt-qualys-083","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Network Device","10.82.1.63","net-qualys-084.example.internal","net-qualys-084","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Network Device","10.82.1.64","net-qualys-085.example.internal","net-qualys-085","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.82.1.65","win-qualys-086.example.internal","win-qualys-086","Windows Operations","Windows Server 2022"
"Qualys VMDR","Windows Server","10.82.1.66","win-qualys-087.example.internal","win-qualys-087","Windows Operations","Windows Server 2022"
"Qualys VMDR","Linux Server","10.82.1.67","lnx-qualys-088.example.internal","lnx-qualys-088","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Network Device","10.82.1.68","net-qualys-089.example.internal","net-qualys-089","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Linux Server","10.82.1.69","lnx-qualys-090.example.internal","lnx-qualys-090","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Cloud Asset","10.82.1.70","cld-qualys-091.example.internal","cld-qualys-091","Cloud Platform","AWS EC2"
"Qualys VMDR","Database","10.82.1.71","db-qualys-092.example.internal","db-qualys-092","Database Operations","PostgreSQL 16"
"Qualys VMDR","Virtualization Host","10.82.1.72","virt-qualys-093.example.internal","virt-qualys-093","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Virtualization Host","10.82.1.73","virt-qualys-094.example.internal","virt-qualys-094","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Network Device","10.82.1.74","net-qualys-095.example.internal","net-qualys-095","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.82.1.75","win-qualys-096.example.internal","win-qualys-096","Windows Operations","Windows Server 2022"
"Qualys VMDR","Virtualization Host","10.82.1.76","virt-qualys-097.example.internal","virt-qualys-097","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Virtualization Host","10.82.1.77","virt-qualys-098.example.internal","virt-qualys-098","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Database","10.82.1.78","db-qualys-099.example.internal","db-qualys-099","Database Operations","PostgreSQL 16"
"Qualys VMDR","Windows Server","10.82.1.79","win-qualys-100.example.internal","win-qualys-100","Windows Operations","Windows Server 2022"
